season,year,scheme,state,district,crop,insurance_comp,sum_insured,farmer_share,acturial_rate,cut_off_date,area,premium_paid_farmer,premium_paid_goi
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Janjgir - Champa,Wheat - RF,AGRICULTURE INSURANCE COMPANY,15000,1.5,3,"12/31/2017, 1:29:59 PM",1,225,225
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Rewari,Paddy (Dhan),ICICI LOMBARD GENERAL INSURANCE CO. LTD.,71500,2,6,"7/30/2017, 2:30:00 PM",1,1430,2860
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Jangaon,Maize (Makka) - RF,TATA AIG GENERAL INSURANCE CO. LTD.,50000,2,9.64,"7/31/2018, 2:29:59 PM",1,1000,3820
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Telangana,Bhadradri,Maize (Makka),UNITED INDIA INSURANCE CO.,62500,1.5,3.69,"12/15/2017, 1:29:59 PM",1,937.5,1368.75
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Kerala,Thiruvananthapuram,Banana,AGRICULTURE INSURANCE COMPANY,300000,2,2,"9/15/2019, 2:29:59 PM",1,6000,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Tripura,Unakoti,Tomato,AGRICULTURE INSURANCE COMPANY,112443,5,5,"12/15/2018, 1:29:59 PM",1,5622.15,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Gariyaband,Mustard,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,20000,1.5,5,"12/31/2018, 1:29:59 PM",1,300,700
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Dhubri,Jute,NATIONAL INSURANCE COMPANY LIMITED,56630,2.82,2.82,"7/31/2018, 2:29:59 PM",1,1596.9659999999997,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Burhanpur,Sorghum (Jowar/Great Millet),AGRICULTURE INSURANCE COMPANY,20000,2,4,"8/15/2017, 2:30:00 PM",1,400,400
Kharif,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Sheopur,Onion,HDFC ERGO GENERAL INSURANCE CO. LTD.,63200,5,11,"8/14/2017, 2:30:00 PM",1,3160,3792
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Odisha,Malkangiri,Paddy (Dhan),TATA AIG GENERAL INSURANCE CO. LTD.,40000,2,5.84,"7/30/2017, 2:30:00 PM",1,800,1536
Kharif,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Umaria,Onion,HDFC ERGO GENERAL INSURANCE CO. LTD.,63200,5,7.95,"8/14/2017, 2:30:00 PM",1,3160,1864.4
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Surajpur,Linseed (Alsi),BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,10000,1.5,10,"12/31/2018, 1:29:59 PM",1,150,850
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Jangaon,Pigeon Pea (Red Gram/Arhar/Tur),TATA AIG GENERAL INSURANCE CO. LTD.,35000,2,14.5,"7/31/2018, 2:29:59 PM",1,700,4375
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Kondagaon,Wheat - IR,Bajaj Allianz General Insurance Co. Ltd,24000,1.5,20,"12/31/2017, 1:29:59 PM",1,360,4440
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Rewari,Cotton (Kapas),ICICI LOMBARD GENERAL INSURANCE CO. LTD.,69000,2,5.25,"7/30/2017, 2:30:00 PM",1,1380,2242.5
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Jhajjar,Paddy (Dhan),Bajaj Allianz General Insurance Co. Ltd,71500,2,6.5,"7/30/2017, 2:30:00 PM",1,1430,3217.5
Kharif,2019,Weather Based Crop Insurance Scheme,Andhra Pradesh,Anantapur,Mosambi (sweet lime),IFFCO TOKIO GENERAL INSURANCE CO. LTD.,90000,5,12,"8/9/2019, 2:29:59 PM",1,4500,6300
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Sonbhadra,Bengal Gram (Chana),RELIANCE GENERAL INSURANCE CO. LTD.,37957,1.5,2,"12/31/2017, 1:29:59 PM",1,569.355,189.785
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Balrampur,Paddy (Dhan),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,49000,2,3.6,"7/31/2019, 2:29:59 PM",1,980,784
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Bemetara,Bengal Gram (Chana),BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,37000,1.5,7,"12/31/2018, 1:29:59 PM",1,555,2035
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Kerala,Kollam,Banana - Plaintain,AGRICULTURE INSURANCE COMPANY,187500,3,3,"2/28/2018, 1:29:59 PM",1,5625,0
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Faizabad,Paddy (Dhan),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,48000,2,3,"7/31/2019, 2:29:59 PM",1,960,480
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Hapur,Potato,NEW INDIA ASSURANCE COMPANY,106661,5,10,"12/31/2018, 1:29:59 PM",1,5333.05,5333.05
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Bihar,Kishanganj,Paddy (Dhan),AGRICULTURE INSURANCE COMPANY,47500,2,5,"7/30/2017, 2:30:00 PM",1,950,1425
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Udalguri,Potato,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,131900,5,5,"12/31/2018, 1:29:59 PM",1,6595,0
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Karimnagar,Rice,TATA AIG GENERAL INSURANCE CO. LTD.,85000,2,4.5,"8/31/2018, 2:29:59 PM",1,1700,2125
Kharif,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Shajapur,Papaya,HDFC ERGO GENERAL INSURANCE CO. LTD.,102375,5,6,"8/14/2017, 2:30:00 PM",1,5118.75,1023.75
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Sikkim,North District,Buck Wheat (Kaspat),IFFCO TOKIO GENERAL INSURANCE CO. LTD.,34140,1.5,2,"1/31/2018, 1:29:59 PM",1,512.1,170.7
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Raigarh,Lethyrus,Bajaj Allianz General Insurance Co. Ltd,12000,1.5,15,"12/31/2017, 1:29:59 PM",1,180,1620
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Nalbari,Mustard,AGRICULTURE INSURANCE COMPANY,33700,1.5,3,"12/31/2018, 1:29:59 PM",1,505.5,505.5
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Sikkim,North District,Barley (Jau),IFFCO TOKIO GENERAL INSURANCE CO. LTD.,33480,1.5,2,"1/31/2018, 1:29:59 PM",1,502.2,167.4
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Mewat,Maize (Makka),Bajaj Allianz General Insurance Co. Ltd,36000,2,2,"7/30/2017, 2:30:00 PM",1,720,0
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Telangana,Nalgonda,Green Gram (Moong) - RF,AGRICULTURE INSURANCE COMPANY,37500,2,15,"7/31/2019, 2:29:59 PM",1,750,4875
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Gandhinagar,Paddy - IR,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,55000,2,2.67,"7/15/2019, 2:29:59 PM",1,1100,368.49999999999994
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Jagtial,Groundnut (Pea Nut),AGRICULTURE INSURANCE COMPANY,52500,1.5,3.5,"12/31/2018, 1:29:59 PM",1,787.5,1050
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Telangana,Adilabad,Sorghum (Jowar/Great Millet),ICICI LOMBARD GENERAL INSURANCE CO. LTD.,27500,1.5,6.09,"12/31/2017, 1:29:59 PM",1,412.5,1262.25
Rabi,2018,Weather Based Crop Insurance Scheme,Telangana,Jagtial,Mango - 5 To 15 Years,AGRICULTURE INSURANCE COMPANY,450,5,5,"12/15/2018, 1:29:59 PM",1,22.5,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Bihar,Aurangabad,Paddy (Dhan),AGRICULTURE INSURANCE COMPANY,45000,2,5,"7/30/2017, 2:30:00 PM",1,900,1350
Rabi,2018,Weather Based Crop Insurance Scheme,Rajasthan,Jhalawar,Garlic,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,115000,5,18,"12/31/2018, 1:29:59 PM",1,5750,14950
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Kondagaon,Bengal Gram (Chana),BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,16000,1.5,20,"12/31/2018, 1:29:59 PM",1,240,2960
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Janjgir - Champa,Wheat - RF,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,10000,1.5,5,"12/31/2018, 1:29:59 PM",1,150,350
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Alipurduar,Lentil (Masur),NATIONAL INSURANCE COMPANY LIMITED,43984,0,12,"12/31/2018, 1:29:59 PM",1,0,5278.08
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Wardha,Bengal Gram (Chana),NATIONAL INSURANCE COMPANY LIMITED,24000,1.5,3.3,"1/1/2018, 1:29:59 PM",1,360,431.99999999999994
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Nalbari,Sugarcane - Noble Cane,AGRICULTURE INSURANCE COMPANY,100500,5,5,"1/31/2019, 1:29:59 PM",1,5025,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Bihar,Lakhisarai,Maize (Makka),AGRICULTURE INSURANCE COMPANY,35000,2,7,"7/30/2017, 2:30:00 PM",1,700,1750
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Durg,Wheat - RF,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,17000,1.5,5,"12/31/2018, 1:29:59 PM",1,255,595
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Gurgaon,Pearl Millet (Bajra),Bajaj Allianz General Insurance Co. Ltd,33500,2,5,"7/30/2017, 2:30:00 PM",1,670,1005
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Bilaspur,Wheat - RF,Bajaj Allianz General Insurance Co. Ltd,15000,1.5,4,"12/31/2017, 1:29:59 PM",1,225,375
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Baksa,Paddy - Summer,AGRICULTURE INSURANCE COMPANY,60100,1.5,5,"1/31/2019, 1:29:59 PM",1,901.5,2103.5
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Sirsa,Pearl Millet (Bajra),ICICI LOMBARD GENERAL INSURANCE CO. LTD.,33500,2,4.11,"7/30/2017, 2:30:00 PM",1,670,706.8500000000001
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Farrukhabad,Pearl Millet (Bajra),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,28000,2,5.25,"7/31/2019, 2:29:59 PM",1,560,910
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Bilaspur,Bengal Gram (Chana),Bajaj Allianz General Insurance Co. Ltd,30000,1.5,4,"12/31/2017, 1:29:59 PM",1,450,750
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Gujarat,Chhota Udepur,Cotton (Kapas) - IR,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,45000,2,12,"7/30/2017, 2:30:00 PM",1,900,4500
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Balrampur,Wheat - IR,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,25000,1.5,6,"12/31/2018, 1:29:59 PM",1,375,1125
Kharif,2019,Weather Based Crop Insurance Scheme,Chhattisgarh,Koriya,Brinjal,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,70000,5,10,"7/31/2019, 2:29:59 PM",1,3500,3500
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Dhamtari,Mustard,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,20000,1.5,16,"12/31/2018, 1:29:59 PM",1,300,2900
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Rae Bareli,Pigeon Pea (Red Gram/Arhar/Tur),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,28824,2,14.67,"7/31/2019, 2:29:59 PM",1,576.48,3652.0008000000003
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Gonda,Lentil (Masur),NEW INDIA ASSURANCE COMPANY,32285,1.5,2,"12/31/2017, 1:29:59 PM",1,484.275,161.425
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Odisha,Cuttack,Paddy (Dhan),Cholamandalam MS General Insurance company limited,45000,2,13.83,"7/30/2017, 2:30:00 PM",1,900,5323.5
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Baksa,Mustard,AGRICULTURE INSURANCE COMPANY,33700,1.5,8,"12/31/2018, 1:29:59 PM",1,505.5,2190.5
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Bilaspur,Wheat - IR,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,13000,1.5,5,"12/31/2018, 1:29:59 PM",1,195,455
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Bihar,Munger,Maize (Makka),BHARTI AXA GENERAL INSURANCE COMPANY LTD.,35000,2,10,"7/30/2017, 2:30:00 PM",1,700,2800
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Raipur,Bengal Gram (Chana),AGRICULTURE INSURANCE COMPANY,30000,1.5,15,"12/31/2017, 1:29:59 PM",1,450,4050
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Hailakandi,Potato,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,131900,3,3,"12/31/2018, 1:29:59 PM",1,3957,0
Kharif,2018,Weather Based Crop Insurance Scheme,Rajasthan,Bundi,Guava,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,105000,5,24,"8/3/2018, 2:29:59 PM",1,5250,19950
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Bilaspur,Linseed (Alsi),BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,17000,1.5,15,"12/31/2018, 1:29:59 PM",1,255,2295
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Kalimpong,Mustard,UNITED INDIA INSURANCE CO.,64350,0,17.85,"12/31/2018, 1:29:59 PM",1,0,11486.475
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Telangana,Bhadradri,Paddy (Dhan),UNITED INDIA INSURANCE CO.,72500,1.5,2.5,"12/31/2017, 1:29:59 PM",1,1087.5,725
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Kerala,Wayanad,Tapioca - Rabi -II,AGRICULTURE INSURANCE COMPANY,125000,2.7,2.7,"3/15/2019, 2:29:59 PM",1,3375,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Aurangabad,Sorghum (Jowar/Great Millet) - IR,ORIENTAL INSURANCE,26000,1.5,7.56,"1/1/2018, 1:29:59 PM",1,390,1575.6
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Tripura,North Tripura,Brinjal,ROYAL SUNDARAM GENERAL INSURANCE CO. LIMITED,79605,5,5.1,"12/31/2017, 1:29:59 PM",1,3980.25,79.60499999999972
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Durg,Linseed (Alsi),Bajaj Allianz General Insurance Co. Ltd,11200,1.5,22,"12/31/2017, 1:29:59 PM",1,168,2296
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Gariyaband,Wheat - IR,AGRICULTURE INSURANCE COMPANY,25000,1.5,2.5,"12/31/2017, 1:29:59 PM",1,375,250
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Sivasagar,Mustard,AGRICULTURE INSURANCE COMPANY,33700,1.5,4,"12/31/2018, 1:29:59 PM",1,505.5,842.5
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Durg,Bengal Gram (Chana),Bajaj Allianz General Insurance Co. Ltd,33000,1.5,11,"12/31/2017, 1:29:59 PM",1,495,3135
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Sant Kabir Nagar,Maize (Makka),HDFC ERGO GENERAL INSURANCE CO. LTD.,30058,2,7,"7/31/2019, 2:29:59 PM",1,601.16,1502.9
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Bastar,Linseed (Alsi),AGRICULTURE INSURANCE COMPANY,10000,1.5,3,"12/31/2017, 1:29:59 PM",1,150,150
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Pratapgarh,Pigeon Pea (Red Gram/Arhar/Tur),NEW INDIA ASSURANCE COMPANY,30000,2,4.67,"7/31/2019, 2:29:59 PM",1,600,801
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Uttarakhand,Dehradun,Wheat,AGRICULTURE INSURANCE COMPANY,64200,1.5,5.5,"12/31/2017, 1:29:59 PM",1,963,2568
Kharif,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Sheopur,Chillies,HDFC ERGO GENERAL INSURANCE CO. LTD.,68185,5,10,"8/14/2017, 2:30:00 PM",1,3409.25,3409.25
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Janjgir - Champa,Potato,AGRICULTURE INSURANCE COMPANY,100000,5,5,"12/31/2017, 1:29:59 PM",1,5000,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Sultanpur,Lentil (Masur),Bajaj Allianz General Insurance Co. Ltd,29442,1.5,13.36,"12/31/2017, 1:29:59 PM",1,441.63,3491.8212
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Alipurduar,Potato,NATIONAL INSURANCE COMPANY LIMITED,182854,4.68,4.68,"12/31/2018, 1:29:59 PM",1,8557.5672,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Mahbubnagar,Groundnut (Pea Nut),BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,52500,1.5,4,"12/31/2018, 1:29:59 PM",1,787.5,1312.5
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Baloda Bazar,Mustard,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,20000,1.5,5,"12/31/2018, 1:29:59 PM",1,300,700
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Goalpara,Paddy - Sali,ORIENTAL INSURANCE,59740,1.94,1.94,"8/31/2018, 2:29:59 PM",1,1158.956,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Janjgir - Champa,Wheat - IR,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,13000,1.5,5,"12/31/2018, 1:29:59 PM",1,195,455
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Himachal Pradesh,Bilaspur,Paddy - I,AGRICULTURE INSURANCE COMPANY,30000,1.5,1.5,"7/30/2017, 2:30:00 PM",1,450,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Jhansi,Mustard,NEW INDIA ASSURANCE COMPANY,22767,1.5,15,"12/31/2018, 1:29:59 PM",1,341.505,3073.545
Rabi,2017,Weather Based Crop Insurance Scheme,Kerala,Malappuram,Banana,AGRICULTURE INSURANCE COMPANY,100000,5,10,"1/15/2018, 1:29:59 PM",1,5000,5000
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Kanpur Nagar,Pearl Millet (Bajra),SBI GENERAL INSURANCE,20687,2,3,"7/30/2017, 2:30:00 PM",1,413.74,206.87
Rabi,2018,Weather Based Crop Insurance Scheme,Rajasthan,Pali,Tomato,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,90000,5,23,"12/31/2018, 1:29:59 PM",1,4500,16200
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Palwal,Cotton (Kapas),Bajaj Allianz General Insurance Co. Ltd,69000,2,6.5,"7/30/2017, 2:30:00 PM",1,1380,3105
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Assam,Dhubri,Black Gram (Urad),AGRICULTURE INSURANCE COMPANY,31100,2,3.5,"8/31/2019, 2:29:59 PM",1,622,466.5
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Jammu And Kashmir,Doda,Maize (Makka),ICICI LOMBARD GENERAL INSURANCE CO. LTD.,30000,2,5.14,"7/30/2017, 2:30:00 PM",1,600,941.9999999999999
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Telangana,Jayashankar,Rice,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,85000,2,7.25,"8/31/2019, 2:29:59 PM",1,1700,4462.5
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Balrampur,Mustard,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,18000,1.5,9,"12/31/2018, 1:29:59 PM",1,270,1350
Kharif,2017,Weather Based Crop Insurance Scheme,Chhattisgarh,Surajpur,Chillies,Bajaj Allianz General Insurance Co. Ltd,70000,5,45,"7/30/2017, 2:30:00 PM",1,3500,28000
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Azamgarh,Maize (Makka),TATA AIG GENERAL INSURANCE CO. LTD.,21206,2,4.8,"7/30/2017, 2:30:00 PM",1,424.12,593.7679999999999
